Class,Feature1,Feature2,Feature3,Feature4
Normal,0.032284,0.021254,0.065019,0.058958
Normal,0.030543,0.029667,0.02542,0.032866
Normal,0.021859,0.027276,0.031185,0.016843
Normal,0.17647,0.13294,0.11466,0.12363
Normal,0.05344,0.034145,0.027526,0.058917
Normal,0.041832,0.044333,0.030907,0.042807
Normal,0.04752,0.023456,0.033292,0.0084271
Normal,0.050006,0.038626,0.033328,0.040064
Normal,0.040987,0.0096814,0.012915,0.027789
Normal,0.065059,0.073269,0.075996,0.059333
Normal,0.012873,0.016142,0.018316,0.022166
Normal,0.027139,0.043702,0.014964,0.0078386
Normal,0.019946,0.024298,0.055489,0.061342
Normal,0.040712,0.074731,0.052708,0.034245
Normal,0.046104,0.011676,-0.0043194,-0.0048291
Normal,0.050204,0.036445,0.00074353,0.036651
Normal,0.044044,0.039341,0.06315,0.052239
Normal,0.054165,0.039129,0.031031,0.026238
Normal,0.027356,0.043985,0.024326,0.028472
Normal,0.024957,0.039908,0.03005,0.026234
Normal,0.034386,0.038349,0.024918,0.025959
Normal,0.044418,0.025291,0.014835,0.0077686
Normal,0.031697,0.020336,0.011757,0.031696
Normal,0.040379,0.06911,0.04442,0.038191
Normal,0.0062408,0.057544,0.058637,0.034581
Normal,0.046276,0.056852,0.035715,0.024535
Normal,0.11967,0.10578,0.086693,0.05435
Normal,0.059651,0.089832,0.059061,0.033616
Normal,0.025771,0.046233,0.015293,0.00099793
Normal,0.061562,0.071337,0.066013,0.060978
Normal,0.069869,0.084771,0.021285,0.018876
Normal,0.040578,0.027228,0.020471,0.033493
Normal,0.02039,0.024985,0.023262,0.01731
Normal,0.050444,0.058132,0.055692,0.036259
Normal,0.019136,0.0047078,0.019354,0.015002
Normal,0.044567,0.022238,0.016402,0.043858
Normal,0.02998,0.050585,0.031314,0.026139
Normal,0.021124,0.010217,0.015088,0.022165
Normal,0.028708,0.034164,0.036913,0.026008
Normal,0.04521,0.037463,0.040987,0.038839
Normal,0.039691,0.018005,0.029527,0.022197
Normal,0.066186,0.083399,0.071434,0.046208
Normal,0.023298,0.01997,0.02461,0.035769
Normal,0.056308,0.061204,0.040022,0.034152
Normal,0.027516,0.0061108,0.0086392,0.020361
Normal,0.024962,0.024678,0.028009,0.019556
Normal,0.039971,0.037504,0.018726,0.037286
Normal,0.01959,0.024684,0.041035,0.030301
Normal,0.049047,0.067648,0.046077,0.040886
Normal,0.019031,0.045696,0.064143,0.040615
Normal,0.010194,0.016465,0.0067492,0.023801
Normal,0.033153,0.0049565,0.047548,0.047125
Normal,0.037317,0.024502,0.032977,0.035776
Normal,0.047131,0.054517,0.049052,0.04975
Normal,0.029828,0.039424,0.045898,0.034688
Normal,0.033264,0.022542,0.042269,0.036048
Normal,0.044156,0.041414,0.038674,0.025024
Normal,0.013181,0.035521,0.051602,0.044909
Normal,0.043713,0.022623,0.031929,0.036904
Normal,0.037481,0.043396,0.035508,0.0049146
Normal,0.027749,0.051853,0.024504,0.015857
Normal,0.048652,0.026665,0.030938,0.027142
Normal,0.013346,0.0077476,0.0044282,-0.0044565
Normal,0.034558,0.026751,0.019592,0.016226
Normal,0.026656,0.015563,0.0013446,0.0059401
Normal,0.024636,0.012233,0.029114,0.024173
Normal,0.03269,0.0077488,0.00013529,0.036755
Normal,0.014428,0.0049816,0.021007,0.009764
Normal,0.012106,0.0091753,0.013792,0.021232
Normal,0.0099592,0.013885,0.0098932,0.0043954
Normal,0.011055,0.007115,0.00083854,0.019313
Normal,0.047978,0.035882,0.015669,0.006998
Normal,0.019997,0.0029268,0.0068088,-0.0035847
Normal,0.042346,0.031884,0.049617,0.031419
Normal,0.023558,0.021331,0.01621,0.012324
Normal,0.028351,0.023266,0.0045561,0.024095
Normal,0.027428,0.027021,0.015273,0.026199
